Kraj;Okres;Obec;Katastr
Středočeský kraj;Benešov;Postupice;Roubíčkova Lhota
Středočeský kraj;Benešov;Pravonín;Křížov pod Blaníkem
Středočeský kraj;Benešov;Pravonín;Pravonín
Středočeský kraj;Benešov;Pravonín;Tisek
Středočeský kraj;Benešov;Přestavlky u Čerčan;Přestavlky u Čerčan
Středočeský kraj;Benešov;Psáře;Psáře
Středočeský kraj;Benešov;Rabyně;Blaženice
Středočeský kraj;Benešov;Rabyně;Rabyně
Středočeský kraj;Benešov;Radošovice;Radošovice u Vlašimi
Středočeský kraj;Benešov;Rataje;Rataje u Vlašimi
Středočeský kraj;Benešov;Smilkov;Kouty u Smilkova
Středočeský kraj;Benešov;Smilkov;Smilkov
Středočeský kraj;Benešov;Soběhrdy;Soběhrdy
Středočeský kraj;Benešov;Soběhrdy;Žíňany
Středočeský kraj;Benešov;Struhařov;Bořeňovice
Středočeský kraj;Benešov;Struhařov;Býkovice u Bořeňovic
Středočeský kraj;Benešov;Struhařov;Jezero
Středočeský kraj;Benešov;Struhařov;Střížkov u Bořeňovic
Středočeský kraj;Benešov;Struhařov;Myslíč
Středočeský kraj;Benešov;Struhařov;Skalice u Benešova
Středočeský kraj;Benešov;Struhařov;Struhařov u Benešova
Středočeský kraj;Benešov;Střezimíř;Bonkovice
Středočeský kraj;Benešov;Střezimíř;Střezimíř
Středočeský kraj;Benešov;Studený;Studený
Středočeský kraj;Benešov;Bílkovice;Bílkovice
Středočeský kraj;Benešov;Tehov;Nemíž
Středočeský kraj;Benešov;Tehov;Tehov
Středočeský kraj;Benešov;Teplýšovice;Čeňovice
Středočeský kraj;Benešov;Teplýšovice;Teplýšovice
Středočeský kraj;Benešov;Tichonice;Soušice
Středočeský kraj;Benešov;Tichonice;Tichonice
Středočeský kraj;Benešov;Trhový Štěpánov;Dalkovice
Středočeský kraj;Benešov;Trhový Štěpánov;Dubějovice
Středočeský kraj;Benešov;Trhový Štěpánov;Sedmpány
Středočeský kraj;Benešov;Trhový Štěpánov;Střechov nad Sázavou
Středočeský kraj;Benešov;Trhový Štěpánov;Trhový Štěpánov
Středočeský kraj;Benešov;Týnec nad Sázavou;Krusičany
Středočeský kraj;Benešov;Týnec nad Sázavou;Pecerady
Středočeský kraj;Benešov;Týnec nad Sázavou;Podělusy
Středočeský kraj;Benešov;Týnec nad Sázavou;Čakovice u Řehenic
Středočeský kraj;Benešov;Týnec nad Sázavou;Týnec nad Sázavou
Středočeský kraj;Benešov;Veliš;Nespery
Středočeský kraj;Benešov;Veliš;Sedlečko u Veliše
Středočeský kraj;Benešov;Veliš;Veliš
Středočeský kraj;Benešov;Vlašim;Bolina
Středočeský kraj;Benešov;Vlašim;Domašín
Středočeský kraj;Benešov;Vlašim;Hrazená Lhota
Středočeský kraj;Benešov;Vlašim;Znosim
Středočeský kraj;Benešov;Vlašim;Nesperská Lhota
